,Achillea_lanulosa,Acomastylis_rossii,Agoseris_aurantiaca,Allium_geyeri,Angelica_grayi,Antennaria_alpina,Arenaria_fendleri,Artemesia_pattersonii,Artemesia_scopulorum,Bistorta_bistortoides,Bistorta_vivipara,Calmagrostis_canadensis,Caltha_leptosepala,Campanula_uniflora,Carex_foenea,Carex_nova,Carex_rupestris,Carex_scopulorum,Castilleja_occidentalis,Cerastium_arvense,Chionophila_jamesii,Cryptantha_cana,Danthonia_intermedia,Deschampsia_caespitosa,Draba_streptocarpa,Elymus_scriberneri,Erigeron_peregrinus,Erigeron_pinnatisectus,Erigeron_simplex,Eritrichium_aretioides,Erysimum_capitatum,Festuca_brachyphylla,Gentianoides_algida,Hieracium_gracile,Hymenoyxs_grandiflora,Juncus_drummondii,Kobresia_myosuroides,Lewisia_pygmaea,Lloydia_serotina,Luzula_spicata,Mertensia_lanceolata,Minuartia_obtusiloba,Oreoxis_alpina,Paronychia_pulvinata,Pedicularis_parryi,Penstemon_whippleanus,Phleum_pratense,Phlox_sibirica,Poa_alpina,Poa_epilis,Poa_glauca,Potentilla_concinna,Potentilla_diversifolia,Pseudocymopterus_montanus,Ranunculus_adoneus,Salix_arctica,Saxifraga_rhomboidea,Sedum_lanceolatum,Senicio_crocatus,Sibbaldia_procumbens,Silene_acaulis,Solidago_spathulata,Taraxacum_officinale,Tetraneuris_acaulis,Thlaspi_montanum,Tonestus_pygmaeus,Trifolium_dasyphyllum,Trifolium_parryi,Trisetum_spicatum,Vaccinium_cespitosum,Viola_biflora
27,0,3.333333333,0,0,0,0,0,6.666666667,1.666666667,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,1.666666667,0,0,10,10,3.333333333,0,0,0,5,1.666666667,0,0,0,0,0,0,0,0,0,0,0,11.66666667,0,0,10,0,1.666666667,1.666666667,0,0,0,0
28,0,0,0,0,0,0,1.666666667,8.333333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0.833333333,1.666666667,0,0,0,1.666666667,0.833333333,1.666666667,0,0,0,0,0,0,5,0,0,6.666666667,6.666666667,10,0,0,0,11.66666667,0,0,0,0,0,0,0,0,0,0,0,0,23.33333333,0,0,8.333333333,0,1.666666667,1.666666667,0,0,0,0
29,0,4.651162791,0,0,0,0,1.550387597,9.302325581,0,3.100775194,0,0,0,0,0,0,35.65891473,0,0.775193798,0,0,0,0,0,0.775193798,0.775193798,0,7.751937984,0,1.550387597,0,0,0,0,0,0,0,0,1.550387597,0,0,10.85271318,0,1.550387597,0,0,0,7.751937984,0,0,0,0,0,0,0,0,0,0,0,0,1.550387597,0,0,7.751937984,0,1.550387597,1.550387597,0,0,0,0
31,0.602409639,1.204819277,0,0,0,0.602409639,1.204819277,0,1.204819277,0,0,0,0,1.204819277,1.204819277,0,0.602409639,0,0,0,0,0.602409639,26.5060241,0,0,0,0,0,2.409638554,0,0,0,0,0,0,4.819277108,0,1.204819277,0,0,0,2.409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.602409639,0,0.602409639,0,0,0,0,0,12.04819277,0,40.96385542,0
32,1.169590643,2.339181287,0,0,0,0.584795322,2.339181287,0,7.01754386,0,0,0,0,5.847953216,0,0,1.169590643,0,0,0,0,0,21.05263158,0,0,0,0,0,5.847953216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795322,0,0,0,0,0.584795322,0,0,0,4.678362573,0,0,0,0,0,17.54385965,0,29.23976608,0
33,0.571428571,0,0,0,0,0,3.428571429,0,6.857142857,1.142857143,0,0,0,4.571428571,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,1.142857143,0,1.142857143,0,0.571428571,0,0,0,0,0,0,3.428571429,0,0,0,1.142857143,0,0,0,0,0,0,3.428571429,0,2.285714286,0,0,0,0,0,14.85714286,0,22.85714286,0
34,1.19047619,1.19047619,0,0,0,0.595238095,1.19047619,0,4.761904762,2.380952381,0,0,0,2.380952381,0,0,0.595238095,0,0,0,0,0,36.9047619,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,0,0.595238095,0,0.595238095,0,0,0,0,0,0,0,0,0.595238095,0,0,0,1.19047619,0,0.595238095,0,0,0,0,0,0,9.523809524,0,0,0,0,0,13.0952381,0,17.85714286,0
35,2.18579235,0,0,0,0,0,2.18579235,0,2.18579235,2.18579235,0,0,0,5.464480874,0,0,6.557377049,0,0,0,0,0,26.2295082,0,0,0,0,0,1.092896175,0,0,0,0,0,0,0,0,0.546448087,0,13.1147541,0,0,0,0,0,0,0,0,0,0,0,0,0.546448087,0,0.546448087,0,1.092896175,0,0,1.092896175,0,7.650273224,0,0,0,0,0,6.557377049,0,20.76502732,0
36,0,15.51724138,0,0,0,0,3.448275862,0,6.896551724,0.862068966,0,0,0,3.448275862,0,0,5.172413793,0,0,0,0,0,17.24137931,0,0,0,0,0,8.620689655,0,0,3.448275862,0,0,0,0,0,1.724137931,0,1.724137931,0,10.34482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862068966,0,0.862068966,0,1.724137931,0,0,0,0,0,15.51724138,0.862068966,1.724137931,0
37,0,1.470588235,0,0,0,0.735294118,7.352941176,0,5.882352941,2.941176471,0,0,0,0.735294118,0.735294118,0,11.76470588,0,0,1.470588235,0,0,30.88235294,0,0,0,0,0,4.411764706,0,0,4.411764706,0,0,0,0,1.470588235,0.735294118,0.735294118,2.941176471,0,4.411764706,0,0,1.470588235,0,0,4.411764706,0,0,0.735294118,0,1.470588235,0,0.735294118,0,0,0,0,1.470588235,0,5.882352941,0,0,0,0,0,0,0.735294118,0,0
38,0,9.022556391,0,0,0,0.751879699,3.007518797,0,9.022556391,6.015037594,0,0,0,1.503759398,0,0,6.015037594,0,0,0,0,0,19.54887218,0,0,0,0,0,6.015037594,0,0,0,0,0,0,0,0,1.503759398,0,7.518796992,0,12.03007519,0,0,0,0,0,1.503759398,0,0,0,0,0.751879699,0,0.751879699,0,0,1.503759398,0,1.503759398,0,12.03007519,0,0,0,0,0,0,0,0,0
39,0,11.96581197,0,0,0,0,3.418803419,0,17.09401709,0.854700855,0,0,0,3.418803419,0,0,5.128205128,0,0,0,0,0,10.25641026,0,0,0,0,0,13.67521368,0,0,0,0,0,0,0,0,0.854700855,1.709401709,10.25641026,0,8.547008547,0,0,0,0,0,0.854700855,0,0,0,0,0.854700855,0,0.854700855,0,0,0,0,3.418803419,0,3.418803419,0,0,0,0,0,3.418803419,0,0,0
41,6.060606061,0,0,1.212121212,0,4.242424242,12.12121212,0,0,0.606060606,0,0,0,2.424242424,10.90909091,0,0,0,0,0.606060606,0,0,0,0,0,0,0,0,0,0,0,0.606060606,0,0,0,0,27.87878788,1.212121212,0,1.212121212,0,8.484848485,2.424242424,0,0,0,0,6.060606061,0,0,4.848484848,0,0,0,0,0,0.606060606,3.636363636,0,0,0,0.606060606,0,0,0.606060606,1.212121212,0,1.212121212,1.212121212,0,0
42,0,0.641025641,0,0,0,0.641025641,10.25641026,0,0,0.641025641,0,0,0,5.128205128,12.82051282,0,0,0,0,1.282051282,0,0,0,0,0,0,0,0,1.282051282,0,0,0,0,0,0,0,38.46153846,1.282051282,1.282051282,0.641025641,0,1.282051282,10.25641026,0,0,0,0,2.564102564,0,0,5.128205128,0.641025641,0,0,0,0,0.641025641,2.564102564,0,0,0,1.282051282,0,0,0.641025641,0,0,0,0.641025641,0,0
43,2.564102564,0,0,0.641025641,0,0.641025641,11.53846154,0,0,0.641025641,0,0,0,8.974358974,0,0,0,0,0,3.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.30769231,2.564102564,1.282051282,6.41025641,0,1.282051282,7.692307692,0,0,0,0,1.282051282,0,0,2.564102564,1.282051282,1.282051282,0,0,0,0.641025641,1.282051282,0,0,0,1.282051282,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,1.129943502,14.68926554,0,0,0,0,0,0,5.649717514,0,0,0,0,0,1.129943503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129943503,0,63.27683616,0,0,0.564971751,0,0,5.649717514,0,0,0,0,1.129943503,0,0,0.564971751,2.259887006,1.129943503,0,0,0,1.129943503,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,1.234567901,4.938271605,0,0,2.469135802,0,0,0,2.469135802,0,0,0,0,0,2.469135802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.19753086,0.617283951,0,0.617283951,0,0,17.28395062,0,0.617283951,0,0,0.617283951,0,0,0,0.617283951,1.234567901,0,0,0,0.617283951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5.357142857,0,0,0.892857143,0,0,10.71428571,0,0,0.892857143,0,0,0,8.928571429,3.571428571,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,1.785714286,0,16.07142857,0,0,16.07142857,0,0,0,0,1.785714286,0,0,3.571428571,0,0.892857143,0,0,0,0,0.892857143,0,0,0,0.892857143,0,0,0,0,0,0,0.892857143,0,0
47,1.470588235,0,0,0,0,0.735294118,8.823529412,0,0,2.941176471,0,0,0,13.23529412,0,0,23.52941176,0,0,5.882352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176471,2.941176471,5.882352941,7.352941176,0,5.882352941,0,0,0,0,0,2.941176471,0,0,1.470588235,1.470588235,4.411764706,0,0,0,0,0.735294118,0,0,0,2.941176471,0,0,0,0,0,0,4.411764706,0,0
48,1.57480315,0,0,0.787401575,0,0.787401575,15.7480315,0,0,6.299212598,0,0,0,7.874015748,0,0,26.77165354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.149606299,0.787401575,3.149606299,0,0,9.448818898,1.57480315,0,1.57480315,0,0,14.17322835,0,0,1.57480315,0,0.787401575,0,0,0,0,0,0,0,0,0.787401575,0,0,0,0,0,0,3.149606299,0,0
49,0,0,0,0,0,0.854700855,8.547008547,0,0.854700855,1.709401709,0,0,0,5.128205128,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.709401709,3.418803419,0.854700855,6.837606838,0,11.96581197,5.128205128,0,0,0,0,15.38461538,0,0,6.837606838,0.854700855,0,0,0,0,0,0.854700855,0,0,0,6.837606838,0,0,0,0,0,0,0,0,0
51,5.586592179,0,0,0,0,0.558659218,30.16759777,0,3.351955307,1.117318436,0,0,0,1.117318436,3.351955307,0,2.234636872,0,0,6.703910615,0,0,24.58100559,0,0,0,0,0,0,0,0,1.117318436,0,0,0,0,0,2.234636872,0,6.703910615,0,0,0,0,0,4.469273743,0,0,0,0,0,0,0.558659218,0,0,0,3.351955307,1.117318436,0,0,0,1.117318436,0,0,0,0,0,0,0.558659218,0,0
52,0.578034682,0.578034682,0,0,0,4.624277457,20.80924855,0,0.578034682,0.578034682,0.578034682,0,0,1.156069364,3.468208092,0,1.156069364,0,0,1.156069364,0,0,53.17919075,0,0.578034682,0,0,0,0,0,0,0,0,0,0,0,0,0.578034682,0,6.936416185,0,0,0,0,0,0,0,0,0,0,0,0,0.578034682,0,0,0,0.578034682,0,0,0,0,1.156069364,0,0,0,0,0,0,1.156069364,0,0
53,1.123595506,1.123595506,0,0,0,3.370786517,17.97752809,0,6.741573034,1.123595506,0,0,0,6.741573034,0,0,1.123595506,0,0,1.123595506,0,0,50.56179775,0,0,0,0,0,1.123595506,0,0,0,0,0,0,0,0,1.123595506,0,3.370786517,0,1.123595506,0,0,0,0,0,0,0,0,0,0,1.123595506,0,0,0,0,0,0,0.561797753,0,0,0,0,0,0,0,0,0.561797753,0,0
54,2.139037433,8.556149733,0,0,0,0,5.347593583,0,13.90374332,2.139037433,0.534759358,0,0,1.069518717,1.069518717,0,1.069518717,0,0,1.069518717,0,0,45.98930481,0,0,0,0,0,0.534759358,0,0,0,0,0,0,0,0,0.534759358,0,5.347593583,0,0.534759358,0,0,0,0,0,0,0,0,0,0,0.534759358,0,0,0,0,0,0,1.069518717,0,6.417112299,0,0,0,0,0,0,2.139037433,0,0
55,0,15.78947368,0,0,0,3.947368421,10.52631579,0,23.68421053,3.947368421,0,0,0,11.84210526,1.315789474,0,6.578947368,0,1.315789474,0,0,0,0.657894737,0,0,0,0,0,0.657894737,0,0,0.657894737,0,0,0,0,0,0.657894737,0,3.947368421,0,5.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.631578947,0,5.263157895,0,0,0,0,0,0,1.315789474,0,0
56,0,10.34482759,0,0,0,0.862068966,8.620689655,0,20.68965517,1.724137931,1.724137931,0,0,17.24137931,0,0,3.448275862,0,0,0,0,0,0.862068966,0,0,0,0,0,1.724137931,0,0,1.724137931,0,0,0,0,0,1.724137931,0,0,0,5.172413793,0,0,0.862068966,0,0,0,0,0,0,0,1.724137931,0,0,0,0.862068966,0,0,6.896551724,0,10.34482759,0,0,0,0,0,0,3.448275862,0,0
57,0,2.247191011,0,0,0,6.741573034,2.247191011,0,17.97752809,0,0,0,0,0,0,0,11.23595506,0,0,0,0,0,2.247191011,0,0,0,0,0,1.123595506,0,0,2.247191011,0,0,0,0,0,2.247191011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.123595506,0,0,0,0,1.123595506,0,29.21348315,4.494382022,6.741573034,0,0,0,0,0,4.494382022,4.494382022,0,0
58,0,8.695652174,0,0,0,1.449275362,8.695652174,0,20.28985507,1.449275362,0,0,0,0,0,0,0,0,0,0,0,0,5.797101449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,0,1.449275362,0,5.797101449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.449275362,1.449275362,0,11.5942029,0,20.28985507,0,0,0,0,0,0,2.898550725,0,0
59,0,24.06015038,0,0,0,0,6.015037594,0,12.03007519,3.007518797,0,0,0,0,0,0,7.518796992,0,0,0,1.503759398,0,3.007518797,0,0,0,0,0,0,0,0,1.503759398,0,0,0,0,0,0.751879699,4.511278195,3.007518797,0,0.751879699,0,0,0,0,0,0,0,0,0,0,1.503759398,0,1.503759398,0,0,0.751879699,0,0.751879699,0,4.511278195,0,0,0,0,0,22.55639098,0.751879699,0,0
61,0,7.954545455,18.18181818,0,0,0,0,0,2.272727273,0,0,0,0,0,0,0,2.272727273,0,0,0,0,0,3.409090909,7.954545455,0,0,10.22727273,0,0,0,0,0,0,2.272727273,0,14.77272727,0,0,0,0,0,0,0,0,0,0,0,0,1.136363636,0,0,0,1.136363636,0,0,0,0,0,0,9.090909091,0,0,0,0,0,0,0,5.681818182,3.409090909,10.22727273,0
62,0,0,16.84210526,0,0,2.105263158,0,0,0.526315789,1.052631579,0,0,0,0,0,0,4.210526316,0,0,0,0,0,0,18.94736842,0,0,3.157894737,0,1.052631579,0,0,0,0,4.210526316,0,9.473684211,0,1.052631579,0,0,0,1.052631579,0,0,0,0,6.315789474,0,0,0,0,0,0.526315789,0,0,0,0,0,0,1.052631579,0,0,0,0,0,0,0,5.263157895,5.263157895,17.89473684,0
63,0,1.162790698,6.976744186,0,0,0,0,0,1.162790698,4.651162791,0,0,0,1.162790698,0,11.62790698,2.325581395,0,0,0,0,0,0,5.813953488,0,0,4.651162791,0,2.325581395,0,0,0,0,1.162790698,0,4.651162791,0,1.162790698,0,0,0,0,0,0,0,0,2.325581395,0,0,0,0,0,3.488372093,0,1.162790698,0,0,0,0,4.651162791,0,0,0,0,0,0,0,3.488372093,34.88372093,1.162790698,0
